Supplier,AlternativePayeeAccountNumber,AuthorizationGroup,BusinessPartnerPanNumber,CreatedByUser,CreationDate,Customer,PaymentIsBlockedForSupplier,PostingIsBlocked,PurchasingIsBlocked,SupplierAccountGroup,SupplierFullName,SupplierName,VATRegistration,BirthDate,ConcatenatedInternationalLocNo,DeletionIndicator,FiscalAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,IsNaturalPerson,PaymentReason,ResponsibleType,SuplrQltyInProcmtCertfnValidTo,SuplrQualityManagementSystem,SupplierCorporateGroup,SupplierProcurementBlock,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberResponsible,TaxNumberType,SuplrProofOfDelivRlvtCode,BR_TaxIsSplit,DataExchangeInstructionKey,JP_SuplrAmtInCapitalAmount,JP_SupplierCapitalAmountCrcy
r-16593981,r-16593981,3981,BusinessPartnerPanNumber-16593981,ser-16593981,2023-12-07,r-16593981,false,false,false,3981,SupplierFullName-16593981,SupplierName-16593981,egistration-16593981,2003-02-23,tionalLocNo-16593981,false,s-16593981,3981,6593981,93981,1,1,3981,81,2019-05-01,3981,p-16593981,81,Number1-16593981,r2-16593981,axNumber3-16593981,axNumber4-16593981,TaxNumber5-16593981,sponsible-16593981,81,1,false,81,1638574122284.298,93981
r-16593982,r-16593982,3982,BusinessPartnerPanNumber-16593982,ser-16593982,2010-02-23,r-16593982,true,true,true,3982,SupplierFullName-16593982,SupplierName-16593982,egistration-16593982,2021-06-27,tionalLocNo-16593982,true,s-16593982,3982,6593982,93982,2,2,3982,82,2013-10-17,3982,p-16593982,82,Number1-16593982,r2-16593982,axNumber3-16593982,axNumber4-16593982,TaxNumber5-16593982,sponsible-16593982,82,2,true,82,2722874666111.592,93982
r-16593983,r-16593983,3983,BusinessPartnerPanNumber-16593983,ser-16593983,2023-02-03,r-16593983,false,false,false,3983,SupplierFullName-16593983,SupplierName-16593983,egistration-16593983,2016-02-20,tionalLocNo-16593983,false,s-16593983,3983,6593983,93983,3,3,3983,83,2012-11-30,3983,p-16593983,83,Number1-16593983,r2-16593983,axNumber3-16593983,axNumber4-16593983,TaxNumber5-16593983,sponsible-16593983,83,3,false,83,7789850014344.764,93983
r-16593984,r-16593984,3984,BusinessPartnerPanNumber-16593984,ser-16593984,2023-07-01,r-16593984,true,true,true,3984,SupplierFullName-16593984,SupplierName-16593984,egistration-16593984,2023-11-27,tionalLocNo-16593984,true,s-16593984,3984,6593984,93984,4,4,3984,84,2006-10-27,3984,p-16593984,84,Number1-16593984,r2-16593984,axNumber3-16593984,axNumber4-16593984,TaxNumber5-16593984,sponsible-16593984,84,4,true,84,8611037749375.72,93984
r-16593985,r-16593985,3985,BusinessPartnerPanNumber-16593985,ser-16593985,2005-02-18,r-16593985,false,false,false,3985,SupplierFullName-16593985,SupplierName-16593985,egistration-16593985,2013-01-09,tionalLocNo-16593985,false,s-16593985,3985,6593985,93985,5,5,3985,85,2005-02-21,3985,p-16593985,85,Number1-16593985,r2-16593985,axNumber3-16593985,axNumber4-16593985,TaxNumber5-16593985,sponsible-16593985,85,5,false,85,7087503885059.85,93985
r-16593986,r-16593986,3986,BusinessPartnerPanNumber-16593986,ser-16593986,2002-08-02,r-16593986,true,true,true,3986,SupplierFullName-16593986,SupplierName-16593986,egistration-16593986,2002-03-24,tionalLocNo-16593986,true,s-16593986,3986,6593986,93986,6,6,3986,86,2002-03-29,3986,p-16593986,86,Number1-16593986,r2-16593986,axNumber3-16593986,axNumber4-16593986,TaxNumber5-16593986,sponsible-16593986,86,6,true,86,6014652387689.337,93986
r-16593987,r-16593987,3987,BusinessPartnerPanNumber-16593987,ser-16593987,2015-08-21,r-16593987,false,false,false,3987,SupplierFullName-16593987,SupplierName-16593987,egistration-16593987,2000-07-22,tionalLocNo-16593987,false,s-16593987,3987,6593987,93987,7,7,3987,87,2015-12-14,3987,p-16593987,87,Number1-16593987,r2-16593987,axNumber3-16593987,axNumber4-16593987,TaxNumber5-16593987,sponsible-16593987,87,7,false,87,567901657285.122,93987
r-16593988,r-16593988,3988,BusinessPartnerPanNumber-16593988,ser-16593988,2013-03-18,r-16593988,true,true,true,3988,SupplierFullName-16593988,SupplierName-16593988,egistration-16593988,2001-09-07,tionalLocNo-16593988,true,s-16593988,3988,6593988,93988,8,8,3988,88,2010-03-29,3988,p-16593988,88,Number1-16593988,r2-16593988,axNumber3-16593988,axNumber4-16593988,TaxNumber5-16593988,sponsible-16593988,88,8,true,88,8878445681481.076,93988
r-16593989,r-16593989,3989,BusinessPartnerPanNumber-16593989,ser-16593989,2004-07-26,r-16593989,false,false,false,3989,SupplierFullName-16593989,SupplierName-16593989,egistration-16593989,2004-08-06,tionalLocNo-16593989,false,s-16593989,3989,6593989,93989,9,9,3989,89,2006-09-12,3989,p-16593989,89,Number1-16593989,r2-16593989,axNumber3-16593989,axNumber4-16593989,TaxNumber5-16593989,sponsible-16593989,89,9,false,89,4697964524446.181,93989
r-16593990,r-16593990,3990,BusinessPartnerPanNumber-16593990,ser-16593990,2001-03-15,r-16593990,true,true,true,3990,SupplierFullName-16593990,SupplierName-16593990,egistration-16593990,2002-07-04,tionalLocNo-16593990,true,s-16593990,3990,6593990,93990,0,0,3990,90,2020-11-14,3990,p-16593990,90,Number1-16593990,r2-16593990,axNumber3-16593990,axNumber4-16593990,TaxNumber5-16593990,sponsible-16593990,90,0,true,90,6164567548933.512,93990
r-16593991,r-16593991,3991,BusinessPartnerPanNumber-16593991,ser-16593991,2017-11-25,r-16593991,false,false,false,3991,SupplierFullName-16593991,SupplierName-16593991,egistration-16593991,2018-11-27,tionalLocNo-16593991,false,s-16593991,3991,6593991,93991,1,1,3991,91,2005-02-23,3991,p-16593991,91,Number1-16593991,r2-16593991,axNumber3-16593991,axNumber4-16593991,TaxNumber5-16593991,sponsible-16593991,91,1,false,91,6347025318694.109,93991
r-16593992,r-16593992,3992,BusinessPartnerPanNumber-16593992,ser-16593992,2001-07-24,r-16593992,true,true,true,3992,SupplierFullName-16593992,SupplierName-16593992,egistration-16593992,2018-07-13,tionalLocNo-16593992,true,s-16593992,3992,6593992,93992,2,2,3992,92,2002-10-05,3992,p-16593992,92,Number1-16593992,r2-16593992,axNumber3-16593992,axNumber4-16593992,TaxNumber5-16593992,sponsible-16593992,92,2,true,92,8600760357673.152,93992
r-16593993,r-16593993,3993,BusinessPartnerPanNumber-16593993,ser-16593993,2015-01-08,r-16593993,false,false,false,3993,SupplierFullName-16593993,SupplierName-16593993,egistration-16593993,2013-01-28,tionalLocNo-16593993,false,s-16593993,3993,6593993,93993,3,3,3993,93,2011-03-24,3993,p-16593993,93,Number1-16593993,r2-16593993,axNumber3-16593993,axNumber4-16593993,TaxNumber5-16593993,sponsible-16593993,93,3,false,93,8205401306387.464,93993
r-16593994,r-16593994,3994,BusinessPartnerPanNumber-16593994,ser-16593994,2010-10-02,r-16593994,true,true,true,3994,SupplierFullName-16593994,SupplierName-16593994,egistration-16593994,2006-05-20,tionalLocNo-16593994,true,s-16593994,3994,6593994,93994,4,4,3994,94,2002-12-23,3994,p-16593994,94,Number1-16593994,r2-16593994,axNumber3-16593994,axNumber4-16593994,TaxNumber5-16593994,sponsible-16593994,94,4,true,94,3495135823204.626,93994
r-16593995,r-16593995,3995,BusinessPartnerPanNumber-16593995,ser-16593995,2006-02-19,r-16593995,false,false,false,3995,SupplierFullName-16593995,SupplierName-16593995,egistration-16593995,2017-01-26,tionalLocNo-16593995,false,s-16593995,3995,6593995,93995,5,5,3995,95,2000-04-24,3995,p-16593995,95,Number1-16593995,r2-16593995,axNumber3-16593995,axNumber4-16593995,TaxNumber5-16593995,sponsible-16593995,95,5,false,95,5036662439939.852,93995
r-16593996,r-16593996,3996,BusinessPartnerPanNumber-16593996,ser-16593996,2009-03-02,r-16593996,true,true,true,3996,SupplierFullName-16593996,SupplierName-16593996,egistration-16593996,2004-02-08,tionalLocNo-16593996,true,s-16593996,3996,6593996,93996,6,6,3996,96,2005-03-26,3996,p-16593996,96,Number1-16593996,r2-16593996,axNumber3-16593996,axNumber4-16593996,TaxNumber5-16593996,sponsible-16593996,96,6,true,96,7364657353768.739,93996
r-16593997,r-16593997,3997,BusinessPartnerPanNumber-16593997,ser-16593997,2014-05-27,r-16593997,false,false,false,3997,SupplierFullName-16593997,SupplierName-16593997,egistration-16593997,2010-08-31,tionalLocNo-16593997,false,s-16593997,3997,6593997,93997,7,7,3997,97,2020-02-29,3997,p-16593997,97,Number1-16593997,r2-16593997,axNumber3-16593997,axNumber4-16593997,TaxNumber5-16593997,sponsible-16593997,97,7,false,97,9753021912555.568,93997
r-16593998,r-16593998,3998,BusinessPartnerPanNumber-16593998,ser-16593998,2022-01-18,r-16593998,true,true,true,3998,SupplierFullName-16593998,SupplierName-16593998,egistration-16593998,2023-03-16,tionalLocNo-16593998,true,s-16593998,3998,6593998,93998,8,8,3998,98,2002-10-18,3998,p-16593998,98,Number1-16593998,r2-16593998,axNumber3-16593998,axNumber4-16593998,TaxNumber5-16593998,sponsible-16593998,98,8,true,98,7928568209566.04,93998
r-16593999,r-16593999,3999,BusinessPartnerPanNumber-16593999,ser-16593999,2013-09-07,r-16593999,false,false,false,3999,SupplierFullName-16593999,SupplierName-16593999,egistration-16593999,2020-03-18,tionalLocNo-16593999,false,s-16593999,3999,6593999,93999,9,9,3999,99,2005-09-02,3999,p-16593999,99,Number1-16593999,r2-16593999,axNumber3-16593999,axNumber4-16593999,TaxNumber5-16593999,sponsible-16593999,99,9,false,99,172676985956.63,93999
r-16594000,r-16594000,4000,BusinessPartnerPanNumber-16594000,ser-16594000,2009-01-14,r-16594000,true,true,true,4000,SupplierFullName-16594000,SupplierName-16594000,egistration-16594000,2006-11-21,tionalLocNo-16594000,true,s-16594000,4000,6594000,94000,0,0,4000,00,2004-10-23,4000,p-16594000,00,Number1-16594000,r2-16594000,axNumber3-16594000,axNumber4-16594000,TaxNumber5-16594000,sponsible-16594000,00,0,true,00,1023951984247.765,94000
r-16594001,r-16594001,4001,BusinessPartnerPanNumber-16594001,ser-16594001,2001-10-03,r-16594001,false,false,false,4001,SupplierFullName-16594001,SupplierName-16594001,egistration-16594001,2017-04-02,tionalLocNo-16594001,false,s-16594001,4001,6594001,94001,1,1,4001,01,2003-11-03,4001,p-16594001,01,Number1-16594001,r2-16594001,axNumber3-16594001,axNumber4-16594001,TaxNumber5-16594001,sponsible-16594001,01,1,false,01,4678014293495.04,94001
r-16594002,r-16594002,4002,BusinessPartnerPanNumber-16594002,ser-16594002,2003-04-02,r-16594002,true,true,true,4002,SupplierFullName-16594002,SupplierName-16594002,egistration-16594002,2008-03-01,tionalLocNo-16594002,true,s-16594002,4002,6594002,94002,2,2,4002,02,2018-02-24,4002,p-16594002,02,Number1-16594002,r2-16594002,axNumber3-16594002,axNumber4-16594002,TaxNumber5-16594002,sponsible-16594002,02,2,true,02,2187234898556.204,94002
r-16594003,r-16594003,4003,BusinessPartnerPanNumber-16594003,ser-16594003,2015-08-22,r-16594003,false,false,false,4003,SupplierFullName-16594003,SupplierName-16594003,egistration-16594003,2022-02-04,tionalLocNo-16594003,false,s-16594003,4003,6594003,94003,3,3,4003,03,2020-01-26,4003,p-16594003,03,Number1-16594003,r2-16594003,axNumber3-16594003,axNumber4-16594003,TaxNumber5-16594003,sponsible-16594003,03,3,false,03,4351688775264.905,94003
r-16594004,r-16594004,4004,BusinessPartnerPanNumber-16594004,ser-16594004,2013-01-19,r-16594004,true,true,true,4004,SupplierFullName-16594004,SupplierName-16594004,egistration-16594004,2005-09-30,tionalLocNo-16594004,true,s-16594004,4004,6594004,94004,4,4,4004,04,2014-07-03,4004,p-16594004,04,Number1-16594004,r2-16594004,axNumber3-16594004,axNumber4-16594004,TaxNumber5-16594004,sponsible-16594004,04,4,true,04,5420920825595.866,94004
r-16594005,r-16594005,4005,BusinessPartnerPanNumber-16594005,ser-16594005,2014-03-02,r-16594005,false,false,false,4005,SupplierFullName-16594005,SupplierName-16594005,egistration-16594005,2010-05-05,tionalLocNo-16594005,false,s-16594005,4005,6594005,94005,5,5,4005,05,2011-09-09,4005,p-16594005,05,Number1-16594005,r2-16594005,axNumber3-16594005,axNumber4-16594005,TaxNumber5-16594005,sponsible-16594005,05,5,false,05,1862506204451.112,94005
r-16594006,r-16594006,4006,BusinessPartnerPanNumber-16594006,ser-16594006,2021-09-01,r-16594006,true,true,true,4006,SupplierFullName-16594006,SupplierName-16594006,egistration-16594006,2015-04-07,tionalLocNo-16594006,true,s-16594006,4006,6594006,94006,6,6,4006,06,2020-07-31,4006,p-16594006,06,Number1-16594006,r2-16594006,axNumber3-16594006,axNumber4-16594006,TaxNumber5-16594006,sponsible-16594006,06,6,true,06,8062639438874.847,94006
r-16594007,r-16594007,4007,BusinessPartnerPanNumber-16594007,ser-16594007,2008-10-11,r-16594007,false,false,false,4007,SupplierFullName-16594007,SupplierName-16594007,egistration-16594007,2022-10-06,tionalLocNo-16594007,false,s-16594007,4007,6594007,94007,7,7,4007,07,2009-06-20,4007,p-16594007,07,Number1-16594007,r2-16594007,axNumber3-16594007,axNumber4-16594007,TaxNumber5-16594007,sponsible-16594007,07,7,false,07,8235722711773.4,94007
r-16594008,r-16594008,4008,BusinessPartnerPanNumber-16594008,ser-16594008,2014-06-27,r-16594008,true,true,true,4008,SupplierFullName-16594008,SupplierName-16594008,egistration-16594008,2016-07-23,tionalLocNo-16594008,true,s-16594008,4008,6594008,94008,8,8,4008,08,2007-10-09,4008,p-16594008,08,Number1-16594008,r2-16594008,axNumber3-16594008,axNumber4-16594008,TaxNumber5-16594008,sponsible-16594008,08,8,true,08,2843660847395.002,94008
r-16594009,r-16594009,4009,BusinessPartnerPanNumber-16594009,ser-16594009,2003-03-26,r-16594009,false,false,false,4009,SupplierFullName-16594009,SupplierName-16594009,egistration-16594009,2007-09-20,tionalLocNo-16594009,false,s-16594009,4009,6594009,94009,9,9,4009,09,2022-11-08,4009,p-16594009,09,Number1-16594009,r2-16594009,axNumber3-16594009,axNumber4-16594009,TaxNumber5-16594009,sponsible-16594009,09,9,false,09,6001014238233.246,94009
r-16594010,r-16594010,4010,BusinessPartnerPanNumber-16594010,ser-16594010,2000-11-21,r-16594010,true,true,true,4010,SupplierFullName-16594010,SupplierName-16594010,egistration-16594010,2012-08-25,tionalLocNo-16594010,true,s-16594010,4010,6594010,94010,0,0,4010,10,2008-11-05,4010,p-16594010,10,Number1-16594010,r2-16594010,axNumber3-16594010,axNumber4-16594010,TaxNumber5-16594010,sponsible-16594010,10,0,true,10,3592517233049.411,94010
r-16594011,r-16594011,4011,BusinessPartnerPanNumber-16594011,ser-16594011,2022-09-29,r-16594011,false,false,false,4011,SupplierFullName-16594011,SupplierName-16594011,egistration-16594011,2007-10-18,tionalLocNo-16594011,false,s-16594011,4011,6594011,94011,1,1,4011,11,2017-07-22,4011,p-16594011,11,Number1-16594011,r2-16594011,axNumber3-16594011,axNumber4-16594011,TaxNumber5-16594011,sponsible-16594011,11,1,false,11,5766019255294.116,94011
r-16594012,r-16594012,4012,BusinessPartnerPanNumber-16594012,ser-16594012,2015-06-23,r-16594012,true,true,true,4012,SupplierFullName-16594012,SupplierName-16594012,egistration-16594012,2003-02-19,tionalLocNo-16594012,true,s-16594012,4012,6594012,94012,2,2,4012,12,2004-06-25,4012,p-16594012,12,Number1-16594012,r2-16594012,axNumber3-16594012,axNumber4-16594012,TaxNumber5-16594012,sponsible-16594012,12,2,true,12,8125531776422.726,94012
r-16594013,r-16594013,4013,BusinessPartnerPanNumber-16594013,ser-16594013,2016-04-12,r-16594013,false,false,false,4013,SupplierFullName-16594013,SupplierName-16594013,egistration-16594013,2015-03-05,tionalLocNo-16594013,false,s-16594013,4013,6594013,94013,3,3,4013,13,2007-01-03,4013,p-16594013,13,Number1-16594013,r2-16594013,axNumber3-16594013,axNumber4-16594013,TaxNumber5-16594013,sponsible-16594013,13,3,false,13,9458124624790.375,94013
r-16594014,r-16594014,4014,BusinessPartnerPanNumber-16594014,ser-16594014,2004-01-19,r-16594014,true,true,true,4014,SupplierFullName-16594014,SupplierName-16594014,egistration-16594014,2008-04-07,tionalLocNo-16594014,true,s-16594014,4014,6594014,94014,4,4,4014,14,2017-01-06,4014,p-16594014,14,Number1-16594014,r2-16594014,axNumber3-16594014,axNumber4-16594014,TaxNumber5-16594014,sponsible-16594014,14,4,true,14,4207787667834.433,94014
r-16594015,r-16594015,4015,BusinessPartnerPanNumber-16594015,ser-16594015,2022-04-10,r-16594015,false,false,false,4015,SupplierFullName-16594015,SupplierName-16594015,egistration-16594015,2006-01-15,tionalLocNo-16594015,false,s-16594015,4015,6594015,94015,5,5,4015,15,2008-08-27,4015,p-16594015,15,Number1-16594015,r2-16594015,axNumber3-16594015,axNumber4-16594015,TaxNumber5-16594015,sponsible-16594015,15,5,false,15,729736981603.019,94015
r-16594016,r-16594016,4016,BusinessPartnerPanNumber-16594016,ser-16594016,2011-09-26,r-16594016,true,true,true,4016,SupplierFullName-16594016,SupplierName-16594016,egistration-16594016,2002-12-06,tionalLocNo-16594016,true,s-16594016,4016,6594016,94016,6,6,4016,16,2021-06-13,4016,p-16594016,16,Number1-16594016,r2-16594016,axNumber3-16594016,axNumber4-16594016,TaxNumber5-16594016,sponsible-16594016,16,6,true,16,1761248231817.729,94016
r-16594017,r-16594017,4017,BusinessPartnerPanNumber-16594017,ser-16594017,2018-01-25,r-16594017,false,false,false,4017,SupplierFullName-16594017,SupplierName-16594017,egistration-16594017,2015-02-02,tionalLocNo-16594017,false,s-16594017,4017,6594017,94017,7,7,4017,17,2014-08-09,4017,p-16594017,17,Number1-16594017,r2-16594017,axNumber3-16594017,axNumber4-16594017,TaxNumber5-16594017,sponsible-16594017,17,7,false,17,9376961648400.516,94017
r-16594018,r-16594018,4018,BusinessPartnerPanNumber-16594018,ser-16594018,2012-12-06,r-16594018,true,true,true,4018,SupplierFullName-16594018,SupplierName-16594018,egistration-16594018,2005-03-24,tionalLocNo-16594018,true,s-16594018,4018,6594018,94018,8,8,4018,18,2018-02-10,4018,p-16594018,18,Number1-16594018,r2-16594018,axNumber3-16594018,axNumber4-16594018,TaxNumber5-16594018,sponsible-16594018,18,8,true,18,1393093096797.168,94018
r-16594019,r-16594019,4019,BusinessPartnerPanNumber-16594019,ser-16594019,2013-11-05,r-16594019,false,false,false,4019,SupplierFullName-16594019,SupplierName-16594019,egistration-16594019,2002-09-04,tionalLocNo-16594019,false,s-16594019,4019,6594019,94019,9,9,4019,19,2013-12-26,4019,p-16594019,19,Number1-16594019,r2-16594019,axNumber3-16594019,axNumber4-16594019,TaxNumber5-16594019,sponsible-16594019,19,9,false,19,200839814937.194,94019
r-16594020,r-16594020,4020,BusinessPartnerPanNumber-16594020,ser-16594020,2017-06-26,r-16594020,true,true,true,4020,SupplierFullName-16594020,SupplierName-16594020,egistration-16594020,2022-06-06,tionalLocNo-16594020,true,s-16594020,4020,6594020,94020,0,0,4020,20,2014-01-26,4020,p-16594020,20,Number1-16594020,r2-16594020,axNumber3-16594020,axNumber4-16594020,TaxNumber5-16594020,sponsible-16594020,20,0,true,20,6822350200336.65,94020
r-16594021,r-16594021,4021,BusinessPartnerPanNumber-16594021,ser-16594021,2010-11-27,r-16594021,false,false,false,4021,SupplierFullName-16594021,SupplierName-16594021,egistration-16594021,2023-05-27,tionalLocNo-16594021,false,s-16594021,4021,6594021,94021,1,1,4021,21,2000-11-24,4021,p-16594021,21,Number1-16594021,r2-16594021,axNumber3-16594021,axNumber4-16594021,TaxNumber5-16594021,sponsible-16594021,21,1,false,21,3576199666838.615,94021
r-16594022,r-16594022,4022,BusinessPartnerPanNumber-16594022,ser-16594022,2021-09-11,r-16594022,true,true,true,4022,SupplierFullName-16594022,SupplierName-16594022,egistration-16594022,2015-01-30,tionalLocNo-16594022,true,s-16594022,4022,6594022,94022,2,2,4022,22,2021-05-01,4022,p-16594022,22,Number1-16594022,r2-16594022,axNumber3-16594022,axNumber4-16594022,TaxNumber5-16594022,sponsible-16594022,22,2,true,22,3808136010895.491,94022
r-16594023,r-16594023,4023,BusinessPartnerPanNumber-16594023,ser-16594023,2018-01-30,r-16594023,false,false,false,4023,SupplierFullName-16594023,SupplierName-16594023,egistration-16594023,2017-10-31,tionalLocNo-16594023,false,s-16594023,4023,6594023,94023,3,3,4023,23,2019-12-09,4023,p-16594023,23,Number1-16594023,r2-16594023,axNumber3-16594023,axNumber4-16594023,TaxNumber5-16594023,sponsible-16594023,23,3,false,23,6398924620460.386,94023
r-16594024,r-16594024,4024,BusinessPartnerPanNumber-16594024,ser-16594024,2013-11-11,r-16594024,true,true,true,4024,SupplierFullName-16594024,SupplierName-16594024,egistration-16594024,2006-02-07,tionalLocNo-16594024,true,s-16594024,4024,6594024,94024,4,4,4024,24,2014-02-26,4024,p-16594024,24,Number1-16594024,r2-16594024,axNumber3-16594024,axNumber4-16594024,TaxNumber5-16594024,sponsible-16594024,24,4,true,24,4474740848095.705,94024
