BusinessPartner,Customer,Supplier,AcademicTitle,AuthorizationGroup,BusinessPartnerCategory,BusinessPartnerFullName,BusinessPartnerGrouping,BusinessPartnerName,BusinessPartnerUUID,CorrespondenceLanguage,CreatedByUser,CreationDate,CreationTime,FirstName,FormOfAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,IsFemale,IsMale,IsNaturalPerson,IsSexUnknown,GenderCodeName,Language,LastChangeDate,LastChangeTime,LastChangedByUser,LastName,LegalForm,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,OrganizationFoundationDate,OrganizationLiquidationDate,SearchTerm1,SearchTerm2,AdditionalLastName,BirthDate,BusinessPartnerBirthDateStatus,BusinessPartnerBirthplaceName,BusinessPartnerDeathDate,BusinessPartnerIsBlocked,BusinessPartnerType,ETag,GroupBusinessPartnerName1,GroupBusinessPartnerName2,IndependentAddressID,InternationalLocationNumber3,MiddleName,NameCountry,NameFormat,PersonFullName,PersonNumber,IsMarkedForArchiving,BusinessPartnerIDByExtSystem,BusinessPartnerPrintFormat,BusinessPartnerOccupation,BusPartMaritalStatus,BusPartNationality,BusinessPartnerBirthName,BusinessPartnerSupplementName,NaturalPersonEmployerName,LastNamePrefix,LastNameSecondPrefix,Initials,BPDataControllerIsNotRequired,TradingPartner,to_BPCreditWorthiness_BusinessPartner,to_BPFinServicesReporting_BusinessPartner,to_BusinessPartner_BusinessPartner,to_BusinessPartnerIsBank_BusinessPartner,to_Customer_Customer,to_Supplier_Supplier
r-29041834,r-29041834,r-29041834,1834,1834,4,BusinessPartnerFullName-29041834,1834,BusinessPartnerName-29041834,29041834-f3b0-4477-93e4-d8b003f9f3f1,34,ser-29041834,2008-08-17,22:59:53,FirstName-29041834,1834,y-29041834,9041834,41834,true,true,4,true,4,34,2017-04-12,22:59:53,ser-29041834,LastName-29041834,34,OrganizationBPName1-29041834,OrganizationBPName2-29041834,OrganizationBPName3-29041834,OrganizationBPName4-29041834,2019-02-25,2013-09-18,SearchTerm1-29041834,SearchTerm2-29041834,AdditionalLastName-29041834,2009-05-28,4,BusinessPartnerBirthplaceName-29041834,2011-05-27,true,1834,ETag-29041834,GroupBusinessPartnerName1-29041834,GroupBusinessPartnerName2-29041834,D-29041834,4,MiddleName-29041834,834,34,PersonFullName-29041834,r-29041834,true,ByExtSystem-29041834,4,1834,4,834,BusinessPartnerBirthName-29041834,1834,NaturalPersonEmployerName-29041834,1834,1834,s-29041834,true,041834,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041835,r-29041835,r-29041835,1835,1835,5,BusinessPartnerFullName-29041835,1835,BusinessPartnerName-29041835,29041835-98ef-4075-851a-33081cb09abb,35,ser-29041835,2014-08-15,22:59:53,FirstName-29041835,1835,y-29041835,9041835,41835,false,false,5,false,5,35,2006-09-03,22:59:53,ser-29041835,LastName-29041835,35,OrganizationBPName1-29041835,OrganizationBPName2-29041835,OrganizationBPName3-29041835,OrganizationBPName4-29041835,2009-03-19,2005-07-13,SearchTerm1-29041835,SearchTerm2-29041835,AdditionalLastName-29041835,2005-02-08,5,BusinessPartnerBirthplaceName-29041835,2014-07-30,false,1835,ETag-29041835,GroupBusinessPartnerName1-29041835,GroupBusinessPartnerName2-29041835,D-29041835,5,MiddleName-29041835,835,35,PersonFullName-29041835,r-29041835,false,ByExtSystem-29041835,5,1835,5,835,BusinessPartnerBirthName-29041835,1835,NaturalPersonEmployerName-29041835,1835,1835,s-29041835,false,041835,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041836,r-29041836,r-29041836,1836,1836,6,BusinessPartnerFullName-29041836,1836,BusinessPartnerName-29041836,29041836-7973-44e1-9493-b8a02573f8af,36,ser-29041836,2003-10-01,22:59:53,FirstName-29041836,1836,y-29041836,9041836,41836,true,true,6,true,6,36,2019-08-17,22:59:53,ser-29041836,LastName-29041836,36,OrganizationBPName1-29041836,OrganizationBPName2-29041836,OrganizationBPName3-29041836,OrganizationBPName4-29041836,2021-09-01,2013-10-20,SearchTerm1-29041836,SearchTerm2-29041836,AdditionalLastName-29041836,2008-03-14,6,BusinessPartnerBirthplaceName-29041836,2021-08-06,true,1836,ETag-29041836,GroupBusinessPartnerName1-29041836,GroupBusinessPartnerName2-29041836,D-29041836,6,MiddleName-29041836,836,36,PersonFullName-29041836,r-29041836,true,ByExtSystem-29041836,6,1836,6,836,BusinessPartnerBirthName-29041836,1836,NaturalPersonEmployerName-29041836,1836,1836,s-29041836,true,041836,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041837,r-29041837,r-29041837,1837,1837,7,BusinessPartnerFullName-29041837,1837,BusinessPartnerName-29041837,29041837-150a-44f4-97d2-13471f528659,37,ser-29041837,2023-06-26,22:59:53,FirstName-29041837,1837,y-29041837,9041837,41837,false,false,7,false,7,37,2016-11-01,22:59:53,ser-29041837,LastName-29041837,37,OrganizationBPName1-29041837,OrganizationBPName2-29041837,OrganizationBPName3-29041837,OrganizationBPName4-29041837,2011-10-25,2021-02-06,SearchTerm1-29041837,SearchTerm2-29041837,AdditionalLastName-29041837,2015-05-16,7,BusinessPartnerBirthplaceName-29041837,2019-04-09,false,1837,ETag-29041837,GroupBusinessPartnerName1-29041837,GroupBusinessPartnerName2-29041837,D-29041837,7,MiddleName-29041837,837,37,PersonFullName-29041837,r-29041837,false,ByExtSystem-29041837,7,1837,7,837,BusinessPartnerBirthName-29041837,1837,NaturalPersonEmployerName-29041837,1837,1837,s-29041837,false,041837,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041838,r-29041838,r-29041838,1838,1838,8,BusinessPartnerFullName-29041838,1838,BusinessPartnerName-29041838,29041838-1b4a-4708-a520-9eadc5a4e30a,38,ser-29041838,2018-07-25,22:59:53,FirstName-29041838,1838,y-29041838,9041838,41838,true,true,8,true,8,38,2019-06-05,22:59:53,ser-29041838,LastName-29041838,38,OrganizationBPName1-29041838,OrganizationBPName2-29041838,OrganizationBPName3-29041838,OrganizationBPName4-29041838,2016-05-17,2015-01-05,SearchTerm1-29041838,SearchTerm2-29041838,AdditionalLastName-29041838,2006-04-10,8,BusinessPartnerBirthplaceName-29041838,2004-05-29,true,1838,ETag-29041838,GroupBusinessPartnerName1-29041838,GroupBusinessPartnerName2-29041838,D-29041838,8,MiddleName-29041838,838,38,PersonFullName-29041838,r-29041838,true,ByExtSystem-29041838,8,1838,8,838,BusinessPartnerBirthName-29041838,1838,NaturalPersonEmployerName-29041838,1838,1838,s-29041838,true,041838,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041839,r-29041839,r-29041839,1839,1839,9,BusinessPartnerFullName-29041839,1839,BusinessPartnerName-29041839,29041839-c520-47c6-821c-5a576ec1e4d5,39,ser-29041839,2020-11-14,22:59:53,FirstName-29041839,1839,y-29041839,9041839,41839,false,false,9,false,9,39,2014-02-26,22:59:53,ser-29041839,LastName-29041839,39,OrganizationBPName1-29041839,OrganizationBPName2-29041839,OrganizationBPName3-29041839,OrganizationBPName4-29041839,2005-07-01,2014-11-26,SearchTerm1-29041839,SearchTerm2-29041839,AdditionalLastName-29041839,2017-09-06,9,BusinessPartnerBirthplaceName-29041839,2004-12-14,false,1839,ETag-29041839,GroupBusinessPartnerName1-29041839,GroupBusinessPartnerName2-29041839,D-29041839,9,MiddleName-29041839,839,39,PersonFullName-29041839,r-29041839,false,ByExtSystem-29041839,9,1839,9,839,BusinessPartnerBirthName-29041839,1839,NaturalPersonEmployerName-29041839,1839,1839,s-29041839,false,041839,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041840,r-29041840,r-29041840,1840,1840,0,BusinessPartnerFullName-29041840,1840,BusinessPartnerName-29041840,29041840-d8a7-4bd6-b902-ac9a6bae1017,40,ser-29041840,2011-06-03,22:59:53,FirstName-29041840,1840,y-29041840,9041840,41840,true,true,0,true,0,40,2011-11-07,22:59:53,ser-29041840,LastName-29041840,40,OrganizationBPName1-29041840,OrganizationBPName2-29041840,OrganizationBPName3-29041840,OrganizationBPName4-29041840,2021-05-23,2019-05-31,SearchTerm1-29041840,SearchTerm2-29041840,AdditionalLastName-29041840,2000-09-07,0,BusinessPartnerBirthplaceName-29041840,2015-09-28,true,1840,ETag-29041840,GroupBusinessPartnerName1-29041840,GroupBusinessPartnerName2-29041840,D-29041840,0,MiddleName-29041840,840,40,PersonFullName-29041840,r-29041840,true,ByExtSystem-29041840,0,1840,0,840,BusinessPartnerBirthName-29041840,1840,NaturalPersonEmployerName-29041840,1840,1840,s-29041840,true,041840,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041841,r-29041841,r-29041841,1841,1841,1,BusinessPartnerFullName-29041841,1841,BusinessPartnerName-29041841,29041841-cb57-4c66-ab5a-efb1d1a898c0,41,ser-29041841,2021-07-24,22:59:53,FirstName-29041841,1841,y-29041841,9041841,41841,false,false,1,false,1,41,2010-03-29,22:59:53,ser-29041841,LastName-29041841,41,OrganizationBPName1-29041841,OrganizationBPName2-29041841,OrganizationBPName3-29041841,OrganizationBPName4-29041841,2008-12-04,2021-03-22,SearchTerm1-29041841,SearchTerm2-29041841,AdditionalLastName-29041841,2013-08-22,1,BusinessPartnerBirthplaceName-29041841,2001-11-18,false,1841,ETag-29041841,GroupBusinessPartnerName1-29041841,GroupBusinessPartnerName2-29041841,D-29041841,1,MiddleName-29041841,841,41,PersonFullName-29041841,r-29041841,false,ByExtSystem-29041841,1,1841,1,841,BusinessPartnerBirthName-29041841,1841,NaturalPersonEmployerName-29041841,1841,1841,s-29041841,false,041841,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041842,r-29041842,r-29041842,1842,1842,2,BusinessPartnerFullName-29041842,1842,BusinessPartnerName-29041842,29041842-a8de-44a3-a257-7e14f5211b16,42,ser-29041842,2003-04-02,22:59:53,FirstName-29041842,1842,y-29041842,9041842,41842,true,true,2,true,2,42,2005-06-30,22:59:53,ser-29041842,LastName-29041842,42,OrganizationBPName1-29041842,OrganizationBPName2-29041842,OrganizationBPName3-29041842,OrganizationBPName4-29041842,2007-10-03,2012-03-03,SearchTerm1-29041842,SearchTerm2-29041842,AdditionalLastName-29041842,2006-02-13,2,BusinessPartnerBirthplaceName-29041842,2016-06-14,true,1842,ETag-29041842,GroupBusinessPartnerName1-29041842,GroupBusinessPartnerName2-29041842,D-29041842,2,MiddleName-29041842,842,42,PersonFullName-29041842,r-29041842,true,ByExtSystem-29041842,2,1842,2,842,BusinessPartnerBirthName-29041842,1842,NaturalPersonEmployerName-29041842,1842,1842,s-29041842,true,041842,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041843,r-29041843,r-29041843,1843,1843,3,BusinessPartnerFullName-29041843,1843,BusinessPartnerName-29041843,29041843-e68a-4b5c-b439-70fcc2ca0406,43,ser-29041843,2002-03-12,22:59:53,FirstName-29041843,1843,y-29041843,9041843,41843,false,false,3,false,3,43,2022-10-10,22:59:53,ser-29041843,LastName-29041843,43,OrganizationBPName1-29041843,OrganizationBPName2-29041843,OrganizationBPName3-29041843,OrganizationBPName4-29041843,2006-05-03,2006-05-11,SearchTerm1-29041843,SearchTerm2-29041843,AdditionalLastName-29041843,2019-12-19,3,BusinessPartnerBirthplaceName-29041843,2005-05-17,false,1843,ETag-29041843,GroupBusinessPartnerName1-29041843,GroupBusinessPartnerName2-29041843,D-29041843,3,MiddleName-29041843,843,43,PersonFullName-29041843,r-29041843,false,ByExtSystem-29041843,3,1843,3,843,BusinessPartnerBirthName-29041843,1843,NaturalPersonEmployerName-29041843,1843,1843,s-29041843,false,041843,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041844,r-29041844,r-29041844,1844,1844,4,BusinessPartnerFullName-29041844,1844,BusinessPartnerName-29041844,29041844-a759-4bd8-bb24-a2a9b500b406,44,ser-29041844,2013-11-08,22:59:53,FirstName-29041844,1844,y-29041844,9041844,41844,true,true,4,true,4,44,2016-02-25,22:59:53,ser-29041844,LastName-29041844,44,OrganizationBPName1-29041844,OrganizationBPName2-29041844,OrganizationBPName3-29041844,OrganizationBPName4-29041844,2020-02-29,2008-11-26,SearchTerm1-29041844,SearchTerm2-29041844,AdditionalLastName-29041844,2016-11-12,4,BusinessPartnerBirthplaceName-29041844,2002-07-26,true,1844,ETag-29041844,GroupBusinessPartnerName1-29041844,GroupBusinessPartnerName2-29041844,D-29041844,4,MiddleName-29041844,844,44,PersonFullName-29041844,r-29041844,true,ByExtSystem-29041844,4,1844,4,844,BusinessPartnerBirthName-29041844,1844,NaturalPersonEmployerName-29041844,1844,1844,s-29041844,true,041844,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041845,r-29041845,r-29041845,1845,1845,5,BusinessPartnerFullName-29041845,1845,BusinessPartnerName-29041845,29041845-d129-4d87-92b9-c0f5e8cc4f6b,45,ser-29041845,2007-12-03,22:59:53,FirstName-29041845,1845,y-29041845,9041845,41845,false,false,5,false,5,45,2013-12-19,22:59:53,ser-29041845,LastName-29041845,45,OrganizationBPName1-29041845,OrganizationBPName2-29041845,OrganizationBPName3-29041845,OrganizationBPName4-29041845,2005-07-23,2012-09-16,SearchTerm1-29041845,SearchTerm2-29041845,AdditionalLastName-29041845,2015-12-19,5,BusinessPartnerBirthplaceName-29041845,2007-11-16,false,1845,ETag-29041845,GroupBusinessPartnerName1-29041845,GroupBusinessPartnerName2-29041845,D-29041845,5,MiddleName-29041845,845,45,PersonFullName-29041845,r-29041845,false,ByExtSystem-29041845,5,1845,5,845,BusinessPartnerBirthName-29041845,1845,NaturalPersonEmployerName-29041845,1845,1845,s-29041845,false,041845,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041846,r-29041846,r-29041846,1846,1846,6,BusinessPartnerFullName-29041846,1846,BusinessPartnerName-29041846,29041846-307f-4585-be4a-815c1db71a20,46,ser-29041846,2001-03-20,22:59:53,FirstName-29041846,1846,y-29041846,9041846,41846,true,true,6,true,6,46,2001-09-24,22:59:53,ser-29041846,LastName-29041846,46,OrganizationBPName1-29041846,OrganizationBPName2-29041846,OrganizationBPName3-29041846,OrganizationBPName4-29041846,2001-08-04,2018-10-08,SearchTerm1-29041846,SearchTerm2-29041846,AdditionalLastName-29041846,2000-01-18,6,BusinessPartnerBirthplaceName-29041846,2009-05-24,true,1846,ETag-29041846,GroupBusinessPartnerName1-29041846,GroupBusinessPartnerName2-29041846,D-29041846,6,MiddleName-29041846,846,46,PersonFullName-29041846,r-29041846,true,ByExtSystem-29041846,6,1846,6,846,BusinessPartnerBirthName-29041846,1846,NaturalPersonEmployerName-29041846,1846,1846,s-29041846,true,041846,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041847,r-29041847,r-29041847,1847,1847,7,BusinessPartnerFullName-29041847,1847,BusinessPartnerName-29041847,29041847-da4b-4f87-bf4c-e005019966ae,47,ser-29041847,2014-01-13,22:59:53,FirstName-29041847,1847,y-29041847,9041847,41847,false,false,7,false,7,47,2008-12-18,22:59:53,ser-29041847,LastName-29041847,47,OrganizationBPName1-29041847,OrganizationBPName2-29041847,OrganizationBPName3-29041847,OrganizationBPName4-29041847,2009-04-18,2011-11-03,SearchTerm1-29041847,SearchTerm2-29041847,AdditionalLastName-29041847,2021-05-05,7,BusinessPartnerBirthplaceName-29041847,2021-05-14,false,1847,ETag-29041847,GroupBusinessPartnerName1-29041847,GroupBusinessPartnerName2-29041847,D-29041847,7,MiddleName-29041847,847,47,PersonFullName-29041847,r-29041847,false,ByExtSystem-29041847,7,1847,7,847,BusinessPartnerBirthName-29041847,1847,NaturalPersonEmployerName-29041847,1847,1847,s-29041847,false,041847,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041848,r-29041848,r-29041848,1848,1848,8,BusinessPartnerFullName-29041848,1848,BusinessPartnerName-29041848,29041848-7d31-425e-be59-0371638223bf,48,ser-29041848,2014-04-15,22:59:53,FirstName-29041848,1848,y-29041848,9041848,41848,true,true,8,true,8,48,2002-11-24,22:59:53,ser-29041848,LastName-29041848,48,OrganizationBPName1-29041848,OrganizationBPName2-29041848,OrganizationBPName3-29041848,OrganizationBPName4-29041848,2023-06-17,2015-02-19,SearchTerm1-29041848,SearchTerm2-29041848,AdditionalLastName-29041848,2015-07-14,8,BusinessPartnerBirthplaceName-29041848,2022-06-19,true,1848,ETag-29041848,GroupBusinessPartnerName1-29041848,GroupBusinessPartnerName2-29041848,D-29041848,8,MiddleName-29041848,848,48,PersonFullName-29041848,r-29041848,true,ByExtSystem-29041848,8,1848,8,848,BusinessPartnerBirthName-29041848,1848,NaturalPersonEmployerName-29041848,1848,1848,s-29041848,true,041848,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041849,r-29041849,r-29041849,1849,1849,9,BusinessPartnerFullName-29041849,1849,BusinessPartnerName-29041849,29041849-5f23-4a48-8f83-a67650fab396,49,ser-29041849,2020-03-13,22:59:53,FirstName-29041849,1849,y-29041849,9041849,41849,false,false,9,false,9,49,2017-12-15,22:59:53,ser-29041849,LastName-29041849,49,OrganizationBPName1-29041849,OrganizationBPName2-29041849,OrganizationBPName3-29041849,OrganizationBPName4-29041849,2016-03-06,2021-05-31,SearchTerm1-29041849,SearchTerm2-29041849,AdditionalLastName-29041849,2002-08-31,9,BusinessPartnerBirthplaceName-29041849,2019-02-05,false,1849,ETag-29041849,GroupBusinessPartnerName1-29041849,GroupBusinessPartnerName2-29041849,D-29041849,9,MiddleName-29041849,849,49,PersonFullName-29041849,r-29041849,false,ByExtSystem-29041849,9,1849,9,849,BusinessPartnerBirthName-29041849,1849,NaturalPersonEmployerName-29041849,1849,1849,s-29041849,false,041849,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041850,r-29041850,r-29041850,1850,1850,0,BusinessPartnerFullName-29041850,1850,BusinessPartnerName-29041850,29041850-ad7a-4b44-a66c-681f9bcd0e6c,50,ser-29041850,2008-04-23,22:59:53,FirstName-29041850,1850,y-29041850,9041850,41850,true,true,0,true,0,50,2021-10-16,22:59:53,ser-29041850,LastName-29041850,50,OrganizationBPName1-29041850,OrganizationBPName2-29041850,OrganizationBPName3-29041850,OrganizationBPName4-29041850,2000-04-05,2005-01-09,SearchTerm1-29041850,SearchTerm2-29041850,AdditionalLastName-29041850,2005-06-09,0,BusinessPartnerBirthplaceName-29041850,2007-02-20,true,1850,ETag-29041850,GroupBusinessPartnerName1-29041850,GroupBusinessPartnerName2-29041850,D-29041850,0,MiddleName-29041850,850,50,PersonFullName-29041850,r-29041850,true,ByExtSystem-29041850,0,1850,0,850,BusinessPartnerBirthName-29041850,1850,NaturalPersonEmployerName-29041850,1850,1850,s-29041850,true,041850,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041851,r-29041851,r-29041851,1851,1851,1,BusinessPartnerFullName-29041851,1851,BusinessPartnerName-29041851,29041851-790e-4321-ba6e-004247b1b410,51,ser-29041851,2006-02-10,22:59:53,FirstName-29041851,1851,y-29041851,9041851,41851,false,false,1,false,1,51,2017-05-27,22:59:53,ser-29041851,LastName-29041851,51,OrganizationBPName1-29041851,OrganizationBPName2-29041851,OrganizationBPName3-29041851,OrganizationBPName4-29041851,2011-01-21,2007-02-03,SearchTerm1-29041851,SearchTerm2-29041851,AdditionalLastName-29041851,2008-11-06,1,BusinessPartnerBirthplaceName-29041851,2018-07-27,false,1851,ETag-29041851,GroupBusinessPartnerName1-29041851,GroupBusinessPartnerName2-29041851,D-29041851,1,MiddleName-29041851,851,51,PersonFullName-29041851,r-29041851,false,ByExtSystem-29041851,1,1851,1,851,BusinessPartnerBirthName-29041851,1851,NaturalPersonEmployerName-29041851,1851,1851,s-29041851,false,041851,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041852,r-29041852,r-29041852,1852,1852,2,BusinessPartnerFullName-29041852,1852,BusinessPartnerName-29041852,29041852-f1b9-44d6-bf12-e46f62970b6a,52,ser-29041852,2023-07-14,22:59:53,FirstName-29041852,1852,y-29041852,9041852,41852,true,true,2,true,2,52,2007-07-10,22:59:53,ser-29041852,LastName-29041852,52,OrganizationBPName1-29041852,OrganizationBPName2-29041852,OrganizationBPName3-29041852,OrganizationBPName4-29041852,2021-08-26,2012-09-14,SearchTerm1-29041852,SearchTerm2-29041852,AdditionalLastName-29041852,2011-04-24,2,BusinessPartnerBirthplaceName-29041852,2006-02-26,true,1852,ETag-29041852,GroupBusinessPartnerName1-29041852,GroupBusinessPartnerName2-29041852,D-29041852,2,MiddleName-29041852,852,52,PersonFullName-29041852,r-29041852,true,ByExtSystem-29041852,2,1852,2,852,BusinessPartnerBirthName-29041852,1852,NaturalPersonEmployerName-29041852,1852,1852,s-29041852,true,041852,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041853,r-29041853,r-29041853,1853,1853,3,BusinessPartnerFullName-29041853,1853,BusinessPartnerName-29041853,29041853-9c21-47c4-8b91-4374911fa3c6,53,ser-29041853,2013-09-21,22:59:53,FirstName-29041853,1853,y-29041853,9041853,41853,false,false,3,false,3,53,2012-08-06,22:59:53,ser-29041853,LastName-29041853,53,OrganizationBPName1-29041853,OrganizationBPName2-29041853,OrganizationBPName3-29041853,OrganizationBPName4-29041853,2004-05-11,2007-01-06,SearchTerm1-29041853,SearchTerm2-29041853,AdditionalLastName-29041853,2022-05-02,3,BusinessPartnerBirthplaceName-29041853,2005-11-17,false,1853,ETag-29041853,GroupBusinessPartnerName1-29041853,GroupBusinessPartnerName2-29041853,D-29041853,3,MiddleName-29041853,853,53,PersonFullName-29041853,r-29041853,false,ByExtSystem-29041853,3,1853,3,853,BusinessPartnerBirthName-29041853,1853,NaturalPersonEmployerName-29041853,1853,1853,s-29041853,false,041853,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041854,r-29041854,r-29041854,1854,1854,4,BusinessPartnerFullName-29041854,1854,BusinessPartnerName-29041854,29041854-f149-45d0-b7f8-9813f94493a2,54,ser-29041854,2007-11-23,22:59:53,FirstName-29041854,1854,y-29041854,9041854,41854,true,true,4,true,4,54,2004-04-29,22:59:53,ser-29041854,LastName-29041854,54,OrganizationBPName1-29041854,OrganizationBPName2-29041854,OrganizationBPName3-29041854,OrganizationBPName4-29041854,2009-10-25,2022-09-21,SearchTerm1-29041854,SearchTerm2-29041854,AdditionalLastName-29041854,2015-04-18,4,BusinessPartnerBirthplaceName-29041854,2011-11-10,true,1854,ETag-29041854,GroupBusinessPartnerName1-29041854,GroupBusinessPartnerName2-29041854,D-29041854,4,MiddleName-29041854,854,54,PersonFullName-29041854,r-29041854,true,ByExtSystem-29041854,4,1854,4,854,BusinessPartnerBirthName-29041854,1854,NaturalPersonEmployerName-29041854,1854,1854,s-29041854,true,041854,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041855,r-29041855,r-29041855,1855,1855,5,BusinessPartnerFullName-29041855,1855,BusinessPartnerName-29041855,29041855-37d9-4aa3-81b3-5ded3d715aba,55,ser-29041855,2000-07-12,22:59:53,FirstName-29041855,1855,y-29041855,9041855,41855,false,false,5,false,5,55,2016-07-08,22:59:53,ser-29041855,LastName-29041855,55,OrganizationBPName1-29041855,OrganizationBPName2-29041855,OrganizationBPName3-29041855,OrganizationBPName4-29041855,2016-05-19,2006-06-28,SearchTerm1-29041855,SearchTerm2-29041855,AdditionalLastName-29041855,2000-03-08,5,BusinessPartnerBirthplaceName-29041855,2007-06-25,false,1855,ETag-29041855,GroupBusinessPartnerName1-29041855,GroupBusinessPartnerName2-29041855,D-29041855,5,MiddleName-29041855,855,55,PersonFullName-29041855,r-29041855,false,ByExtSystem-29041855,5,1855,5,855,BusinessPartnerBirthName-29041855,1855,NaturalPersonEmployerName-29041855,1855,1855,s-29041855,false,041855,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041856,r-29041856,r-29041856,1856,1856,6,BusinessPartnerFullName-29041856,1856,BusinessPartnerName-29041856,29041856-6c93-46fd-8ca6-0d1e786dacb4,56,ser-29041856,2007-12-15,22:59:53,FirstName-29041856,1856,y-29041856,9041856,41856,true,true,6,true,6,56,2022-12-07,22:59:53,ser-29041856,LastName-29041856,56,OrganizationBPName1-29041856,OrganizationBPName2-29041856,OrganizationBPName3-29041856,OrganizationBPName4-29041856,2000-05-08,2009-01-11,SearchTerm1-29041856,SearchTerm2-29041856,AdditionalLastName-29041856,2014-02-16,6,BusinessPartnerBirthplaceName-29041856,2001-01-02,true,1856,ETag-29041856,GroupBusinessPartnerName1-29041856,GroupBusinessPartnerName2-29041856,D-29041856,6,MiddleName-29041856,856,56,PersonFullName-29041856,r-29041856,true,ByExtSystem-29041856,6,1856,6,856,BusinessPartnerBirthName-29041856,1856,NaturalPersonEmployerName-29041856,1856,1856,s-29041856,true,041856,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041857,r-29041857,r-29041857,1857,1857,7,BusinessPartnerFullName-29041857,1857,BusinessPartnerName-29041857,29041857-36c4-4f23-a028-f8c398c3c908,57,ser-29041857,2015-12-15,22:59:53,FirstName-29041857,1857,y-29041857,9041857,41857,false,false,7,false,7,57,2014-02-10,22:59:53,ser-29041857,LastName-29041857,57,OrganizationBPName1-29041857,OrganizationBPName2-29041857,OrganizationBPName3-29041857,OrganizationBPName4-29041857,2010-06-29,2000-11-30,SearchTerm1-29041857,SearchTerm2-29041857,AdditionalLastName-29041857,2013-12-10,7,BusinessPartnerBirthplaceName-29041857,2015-03-07,false,1857,ETag-29041857,GroupBusinessPartnerName1-29041857,GroupBusinessPartnerName2-29041857,D-29041857,7,MiddleName-29041857,857,57,PersonFullName-29041857,r-29041857,false,ByExtSystem-29041857,7,1857,7,857,BusinessPartnerBirthName-29041857,1857,NaturalPersonEmployerName-29041857,1857,1857,s-29041857,false,041857,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
r-29041858,r-29041858,r-29041858,1858,1858,8,BusinessPartnerFullName-29041858,1858,BusinessPartnerName-29041858,29041858-8d09-4a22-bf09-2b290500b013,58,ser-29041858,2018-09-01,22:59:53,FirstName-29041858,1858,y-29041858,9041858,41858,true,true,8,true,8,58,2002-03-06,22:59:53,ser-29041858,LastName-29041858,58,OrganizationBPName1-29041858,OrganizationBPName2-29041858,OrganizationBPName3-29041858,OrganizationBPName4-29041858,2015-06-25,2019-06-13,SearchTerm1-29041858,SearchTerm2-29041858,AdditionalLastName-29041858,2012-08-17,8,BusinessPartnerBirthplaceName-29041858,2011-01-06,true,1858,ETag-29041858,GroupBusinessPartnerName1-29041858,GroupBusinessPartnerName2-29041858,D-29041858,8,MiddleName-29041858,858,58,PersonFullName-29041858,r-29041858,true,ByExtSystem-29041858,8,1858,8,858,BusinessPartnerBirthName-29041858,1858,NaturalPersonEmployerName-29041858,1858,1858,s-29041858,true,041858,s-20721255,ng-5275256,n-19908876,k-31416997,r-12779418,r-15680215
