Customer,AuthorizationGroup,BillingIsBlockedForCustomer,CreatedByUser,CreationDate,CustomerAccountGroup,CustomerClassification,CustomerFullName,BPCustomerFullName,CustomerName,BPCustomerName,DeliveryIsBlocked,FreeDefinedAttribute01,FreeDefinedAttribute02,FreeDefinedAttribute03,FreeDefinedAttribute04,FreeDefinedAttribute05,FreeDefinedAttribute06,FreeDefinedAttribute07,FreeDefinedAttribute08,FreeDefinedAttribute09,FreeDefinedAttribute10,NFPartnerIsNaturalPerson,OrderIsBlockedForCustomer,PostingIsBlocked,Supplier,CustomerCorporateGroup,FiscalAddress,Industry,IndustryCode1,IndustryCode2,IndustryCode3,IndustryCode4,IndustryCode5,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3,NielsenRegion,PaymentReason,ResponsibleType,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumberType,VATRegistration,DeletionIndicator,ExpressTrainStationName,TrainStationName,CityCode,County,BR_ICMSTaxPayerType
r-29274076,4076,76,ser-29274076,2012-10-27,4076,76,CustomerFullName-29274076,BPCustomerFullName-29274076,CustomerName-29274076,BPCustomerName-29274076,76,76,76,76,76,76,076,076,076,076,076,6,76,true,r-29274076,p-29274076,s-29274076,4076,1-29274076,2-29274076,3-29274076,4-29274076,5-29274076,9274076,74076,6,76,4076,76,Number1-29274076,r2-29274076,axNumber3-29274076,axNumber4-29274076,TaxNumber5-29274076,76,egistration-29274076,true,TrainStationName-29274076,TrainStationName-29274076,4076,076,76
r-29274077,4077,77,ser-29274077,2015-07-12,4077,77,CustomerFullName-29274077,BPCustomerFullName-29274077,CustomerName-29274077,BPCustomerName-29274077,77,77,77,77,77,77,077,077,077,077,077,7,77,false,r-29274077,p-29274077,s-29274077,4077,1-29274077,2-29274077,3-29274077,4-29274077,5-29274077,9274077,74077,7,77,4077,77,Number1-29274077,r2-29274077,axNumber3-29274077,axNumber4-29274077,TaxNumber5-29274077,77,egistration-29274077,false,TrainStationName-29274077,TrainStationName-29274077,4077,077,77
r-29274078,4078,78,ser-29274078,2012-04-04,4078,78,CustomerFullName-29274078,BPCustomerFullName-29274078,CustomerName-29274078,BPCustomerName-29274078,78,78,78,78,78,78,078,078,078,078,078,8,78,true,r-29274078,p-29274078,s-29274078,4078,1-29274078,2-29274078,3-29274078,4-29274078,5-29274078,9274078,74078,8,78,4078,78,Number1-29274078,r2-29274078,axNumber3-29274078,axNumber4-29274078,TaxNumber5-29274078,78,egistration-29274078,true,TrainStationName-29274078,TrainStationName-29274078,4078,078,78
r-29274079,4079,79,ser-29274079,2014-07-31,4079,79,CustomerFullName-29274079,BPCustomerFullName-29274079,CustomerName-29274079,BPCustomerName-29274079,79,79,79,79,79,79,079,079,079,079,079,9,79,false,r-29274079,p-29274079,s-29274079,4079,1-29274079,2-29274079,3-29274079,4-29274079,5-29274079,9274079,74079,9,79,4079,79,Number1-29274079,r2-29274079,axNumber3-29274079,axNumber4-29274079,TaxNumber5-29274079,79,egistration-29274079,false,TrainStationName-29274079,TrainStationName-29274079,4079,079,79
r-29274080,4080,80,ser-29274080,2009-05-04,4080,80,CustomerFullName-29274080,BPCustomerFullName-29274080,CustomerName-29274080,BPCustomerName-29274080,80,80,80,80,80,80,080,080,080,080,080,0,80,true,r-29274080,p-29274080,s-29274080,4080,1-29274080,2-29274080,3-29274080,4-29274080,5-29274080,9274080,74080,0,80,4080,80,Number1-29274080,r2-29274080,axNumber3-29274080,axNumber4-29274080,TaxNumber5-29274080,80,egistration-29274080,true,TrainStationName-29274080,TrainStationName-29274080,4080,080,80
r-29274081,4081,81,ser-29274081,2019-10-18,4081,81,CustomerFullName-29274081,BPCustomerFullName-29274081,CustomerName-29274081,BPCustomerName-29274081,81,81,81,81,81,81,081,081,081,081,081,1,81,false,r-29274081,p-29274081,s-29274081,4081,1-29274081,2-29274081,3-29274081,4-29274081,5-29274081,9274081,74081,1,81,4081,81,Number1-29274081,r2-29274081,axNumber3-29274081,axNumber4-29274081,TaxNumber5-29274081,81,egistration-29274081,false,TrainStationName-29274081,TrainStationName-29274081,4081,081,81
r-29274082,4082,82,ser-29274082,2019-11-21,4082,82,CustomerFullName-29274082,BPCustomerFullName-29274082,CustomerName-29274082,BPCustomerName-29274082,82,82,82,82,82,82,082,082,082,082,082,2,82,true,r-29274082,p-29274082,s-29274082,4082,1-29274082,2-29274082,3-29274082,4-29274082,5-29274082,9274082,74082,2,82,4082,82,Number1-29274082,r2-29274082,axNumber3-29274082,axNumber4-29274082,TaxNumber5-29274082,82,egistration-29274082,true,TrainStationName-29274082,TrainStationName-29274082,4082,082,82
r-29274083,4083,83,ser-29274083,2004-03-29,4083,83,CustomerFullName-29274083,BPCustomerFullName-29274083,CustomerName-29274083,BPCustomerName-29274083,83,83,83,83,83,83,083,083,083,083,083,3,83,false,r-29274083,p-29274083,s-29274083,4083,1-29274083,2-29274083,3-29274083,4-29274083,5-29274083,9274083,74083,3,83,4083,83,Number1-29274083,r2-29274083,axNumber3-29274083,axNumber4-29274083,TaxNumber5-29274083,83,egistration-29274083,false,TrainStationName-29274083,TrainStationName-29274083,4083,083,83
r-29274084,4084,84,ser-29274084,2013-07-01,4084,84,CustomerFullName-29274084,BPCustomerFullName-29274084,CustomerName-29274084,BPCustomerName-29274084,84,84,84,84,84,84,084,084,084,084,084,4,84,true,r-29274084,p-29274084,s-29274084,4084,1-29274084,2-29274084,3-29274084,4-29274084,5-29274084,9274084,74084,4,84,4084,84,Number1-29274084,r2-29274084,axNumber3-29274084,axNumber4-29274084,TaxNumber5-29274084,84,egistration-29274084,true,TrainStationName-29274084,TrainStationName-29274084,4084,084,84
r-29274085,4085,85,ser-29274085,2000-10-24,4085,85,CustomerFullName-29274085,BPCustomerFullName-29274085,CustomerName-29274085,BPCustomerName-29274085,85,85,85,85,85,85,085,085,085,085,085,5,85,false,r-29274085,p-29274085,s-29274085,4085,1-29274085,2-29274085,3-29274085,4-29274085,5-29274085,9274085,74085,5,85,4085,85,Number1-29274085,r2-29274085,axNumber3-29274085,axNumber4-29274085,TaxNumber5-29274085,85,egistration-29274085,false,TrainStationName-29274085,TrainStationName-29274085,4085,085,85
r-29274086,4086,86,ser-29274086,2000-06-11,4086,86,CustomerFullName-29274086,BPCustomerFullName-29274086,CustomerName-29274086,BPCustomerName-29274086,86,86,86,86,86,86,086,086,086,086,086,6,86,true,r-29274086,p-29274086,s-29274086,4086,1-29274086,2-29274086,3-29274086,4-29274086,5-29274086,9274086,74086,6,86,4086,86,Number1-29274086,r2-29274086,axNumber3-29274086,axNumber4-29274086,TaxNumber5-29274086,86,egistration-29274086,true,TrainStationName-29274086,TrainStationName-29274086,4086,086,86
r-29274087,4087,87,ser-29274087,2019-08-01,4087,87,CustomerFullName-29274087,BPCustomerFullName-29274087,CustomerName-29274087,BPCustomerName-29274087,87,87,87,87,87,87,087,087,087,087,087,7,87,false,r-29274087,p-29274087,s-29274087,4087,1-29274087,2-29274087,3-29274087,4-29274087,5-29274087,9274087,74087,7,87,4087,87,Number1-29274087,r2-29274087,axNumber3-29274087,axNumber4-29274087,TaxNumber5-29274087,87,egistration-29274087,false,TrainStationName-29274087,TrainStationName-29274087,4087,087,87
r-29274088,4088,88,ser-29274088,2014-09-21,4088,88,CustomerFullName-29274088,BPCustomerFullName-29274088,CustomerName-29274088,BPCustomerName-29274088,88,88,88,88,88,88,088,088,088,088,088,8,88,true,r-29274088,p-29274088,s-29274088,4088,1-29274088,2-29274088,3-29274088,4-29274088,5-29274088,9274088,74088,8,88,4088,88,Number1-29274088,r2-29274088,axNumber3-29274088,axNumber4-29274088,TaxNumber5-29274088,88,egistration-29274088,true,TrainStationName-29274088,TrainStationName-29274088,4088,088,88
r-29274089,4089,89,ser-29274089,2022-02-14,4089,89,CustomerFullName-29274089,BPCustomerFullName-29274089,CustomerName-29274089,BPCustomerName-29274089,89,89,89,89,89,89,089,089,089,089,089,9,89,false,r-29274089,p-29274089,s-29274089,4089,1-29274089,2-29274089,3-29274089,4-29274089,5-29274089,9274089,74089,9,89,4089,89,Number1-29274089,r2-29274089,axNumber3-29274089,axNumber4-29274089,TaxNumber5-29274089,89,egistration-29274089,false,TrainStationName-29274089,TrainStationName-29274089,4089,089,89
r-29274090,4090,90,ser-29274090,2020-03-06,4090,90,CustomerFullName-29274090,BPCustomerFullName-29274090,CustomerName-29274090,BPCustomerName-29274090,90,90,90,90,90,90,090,090,090,090,090,0,90,true,r-29274090,p-29274090,s-29274090,4090,1-29274090,2-29274090,3-29274090,4-29274090,5-29274090,9274090,74090,0,90,4090,90,Number1-29274090,r2-29274090,axNumber3-29274090,axNumber4-29274090,TaxNumber5-29274090,90,egistration-29274090,true,TrainStationName-29274090,TrainStationName-29274090,4090,090,90
r-29274091,4091,91,ser-29274091,2018-11-21,4091,91,CustomerFullName-29274091,BPCustomerFullName-29274091,CustomerName-29274091,BPCustomerName-29274091,91,91,91,91,91,91,091,091,091,091,091,1,91,false,r-29274091,p-29274091,s-29274091,4091,1-29274091,2-29274091,3-29274091,4-29274091,5-29274091,9274091,74091,1,91,4091,91,Number1-29274091,r2-29274091,axNumber3-29274091,axNumber4-29274091,TaxNumber5-29274091,91,egistration-29274091,false,TrainStationName-29274091,TrainStationName-29274091,4091,091,91
r-29274092,4092,92,ser-29274092,2021-07-14,4092,92,CustomerFullName-29274092,BPCustomerFullName-29274092,CustomerName-29274092,BPCustomerName-29274092,92,92,92,92,92,92,092,092,092,092,092,2,92,true,r-29274092,p-29274092,s-29274092,4092,1-29274092,2-29274092,3-29274092,4-29274092,5-29274092,9274092,74092,2,92,4092,92,Number1-29274092,r2-29274092,axNumber3-29274092,axNumber4-29274092,TaxNumber5-29274092,92,egistration-29274092,true,TrainStationName-29274092,TrainStationName-29274092,4092,092,92
r-29274093,4093,93,ser-29274093,2010-09-01,4093,93,CustomerFullName-29274093,BPCustomerFullName-29274093,CustomerName-29274093,BPCustomerName-29274093,93,93,93,93,93,93,093,093,093,093,093,3,93,false,r-29274093,p-29274093,s-29274093,4093,1-29274093,2-29274093,3-29274093,4-29274093,5-29274093,9274093,74093,3,93,4093,93,Number1-29274093,r2-29274093,axNumber3-29274093,axNumber4-29274093,TaxNumber5-29274093,93,egistration-29274093,false,TrainStationName-29274093,TrainStationName-29274093,4093,093,93
r-29274094,4094,94,ser-29274094,2007-07-11,4094,94,CustomerFullName-29274094,BPCustomerFullName-29274094,CustomerName-29274094,BPCustomerName-29274094,94,94,94,94,94,94,094,094,094,094,094,4,94,true,r-29274094,p-29274094,s-29274094,4094,1-29274094,2-29274094,3-29274094,4-29274094,5-29274094,9274094,74094,4,94,4094,94,Number1-29274094,r2-29274094,axNumber3-29274094,axNumber4-29274094,TaxNumber5-29274094,94,egistration-29274094,true,TrainStationName-29274094,TrainStationName-29274094,4094,094,94
r-29274095,4095,95,ser-29274095,2018-01-06,4095,95,CustomerFullName-29274095,BPCustomerFullName-29274095,CustomerName-29274095,BPCustomerName-29274095,95,95,95,95,95,95,095,095,095,095,095,5,95,false,r-29274095,p-29274095,s-29274095,4095,1-29274095,2-29274095,3-29274095,4-29274095,5-29274095,9274095,74095,5,95,4095,95,Number1-29274095,r2-29274095,axNumber3-29274095,axNumber4-29274095,TaxNumber5-29274095,95,egistration-29274095,false,TrainStationName-29274095,TrainStationName-29274095,4095,095,95
r-29274096,4096,96,ser-29274096,2023-01-22,4096,96,CustomerFullName-29274096,BPCustomerFullName-29274096,CustomerName-29274096,BPCustomerName-29274096,96,96,96,96,96,96,096,096,096,096,096,6,96,true,r-29274096,p-29274096,s-29274096,4096,1-29274096,2-29274096,3-29274096,4-29274096,5-29274096,9274096,74096,6,96,4096,96,Number1-29274096,r2-29274096,axNumber3-29274096,axNumber4-29274096,TaxNumber5-29274096,96,egistration-29274096,true,TrainStationName-29274096,TrainStationName-29274096,4096,096,96
r-29274097,4097,97,ser-29274097,2015-08-15,4097,97,CustomerFullName-29274097,BPCustomerFullName-29274097,CustomerName-29274097,BPCustomerName-29274097,97,97,97,97,97,97,097,097,097,097,097,7,97,false,r-29274097,p-29274097,s-29274097,4097,1-29274097,2-29274097,3-29274097,4-29274097,5-29274097,9274097,74097,7,97,4097,97,Number1-29274097,r2-29274097,axNumber3-29274097,axNumber4-29274097,TaxNumber5-29274097,97,egistration-29274097,false,TrainStationName-29274097,TrainStationName-29274097,4097,097,97
r-29274098,4098,98,ser-29274098,2020-03-07,4098,98,CustomerFullName-29274098,BPCustomerFullName-29274098,CustomerName-29274098,BPCustomerName-29274098,98,98,98,98,98,98,098,098,098,098,098,8,98,true,r-29274098,p-29274098,s-29274098,4098,1-29274098,2-29274098,3-29274098,4-29274098,5-29274098,9274098,74098,8,98,4098,98,Number1-29274098,r2-29274098,axNumber3-29274098,axNumber4-29274098,TaxNumber5-29274098,98,egistration-29274098,true,TrainStationName-29274098,TrainStationName-29274098,4098,098,98
r-29274099,4099,99,ser-29274099,2022-07-01,4099,99,CustomerFullName-29274099,BPCustomerFullName-29274099,CustomerName-29274099,BPCustomerName-29274099,99,99,99,99,99,99,099,099,099,099,099,9,99,false,r-29274099,p-29274099,s-29274099,4099,1-29274099,2-29274099,3-29274099,4-29274099,5-29274099,9274099,74099,9,99,4099,99,Number1-29274099,r2-29274099,axNumber3-29274099,axNumber4-29274099,TaxNumber5-29274099,99,egistration-29274099,false,TrainStationName-29274099,TrainStationName-29274099,4099,099,99
r-29274100,4100,00,ser-29274100,2007-11-04,4100,00,CustomerFullName-29274100,BPCustomerFullName-29274100,CustomerName-29274100,BPCustomerName-29274100,00,00,00,00,00,00,100,100,100,100,100,0,00,true,r-29274100,p-29274100,s-29274100,4100,1-29274100,2-29274100,3-29274100,4-29274100,5-29274100,9274100,74100,0,00,4100,00,Number1-29274100,r2-29274100,axNumber3-29274100,axNumber4-29274100,TaxNumber5-29274100,00,egistration-29274100,true,TrainStationName-29274100,TrainStationName-29274100,4100,100,00
r-29274101,4101,01,ser-29274101,2002-06-25,4101,01,CustomerFullName-29274101,BPCustomerFullName-29274101,CustomerName-29274101,BPCustomerName-29274101,01,01,01,01,01,01,101,101,101,101,101,1,01,false,r-29274101,p-29274101,s-29274101,4101,1-29274101,2-29274101,3-29274101,4-29274101,5-29274101,9274101,74101,1,01,4101,01,Number1-29274101,r2-29274101,axNumber3-29274101,axNumber4-29274101,TaxNumber5-29274101,01,egistration-29274101,false,TrainStationName-29274101,TrainStationName-29274101,4101,101,01
r-29274102,4102,02,ser-29274102,2006-08-02,4102,02,CustomerFullName-29274102,BPCustomerFullName-29274102,CustomerName-29274102,BPCustomerName-29274102,02,02,02,02,02,02,102,102,102,102,102,2,02,true,r-29274102,p-29274102,s-29274102,4102,1-29274102,2-29274102,3-29274102,4-29274102,5-29274102,9274102,74102,2,02,4102,02,Number1-29274102,r2-29274102,axNumber3-29274102,axNumber4-29274102,TaxNumber5-29274102,02,egistration-29274102,true,TrainStationName-29274102,TrainStationName-29274102,4102,102,02
r-29274103,4103,03,ser-29274103,2017-05-15,4103,03,CustomerFullName-29274103,BPCustomerFullName-29274103,CustomerName-29274103,BPCustomerName-29274103,03,03,03,03,03,03,103,103,103,103,103,3,03,false,r-29274103,p-29274103,s-29274103,4103,1-29274103,2-29274103,3-29274103,4-29274103,5-29274103,9274103,74103,3,03,4103,03,Number1-29274103,r2-29274103,axNumber3-29274103,axNumber4-29274103,TaxNumber5-29274103,03,egistration-29274103,false,TrainStationName-29274103,TrainStationName-29274103,4103,103,03
r-29274104,4104,04,ser-29274104,2007-11-04,4104,04,CustomerFullName-29274104,BPCustomerFullName-29274104,CustomerName-29274104,BPCustomerName-29274104,04,04,04,04,04,04,104,104,104,104,104,4,04,true,r-29274104,p-29274104,s-29274104,4104,1-29274104,2-29274104,3-29274104,4-29274104,5-29274104,9274104,74104,4,04,4104,04,Number1-29274104,r2-29274104,axNumber3-29274104,axNumber4-29274104,TaxNumber5-29274104,04,egistration-29274104,true,TrainStationName-29274104,TrainStationName-29274104,4104,104,04
r-29274105,4105,05,ser-29274105,2016-09-22,4105,05,CustomerFullName-29274105,BPCustomerFullName-29274105,CustomerName-29274105,BPCustomerName-29274105,05,05,05,05,05,05,105,105,105,105,105,5,05,false,r-29274105,p-29274105,s-29274105,4105,1-29274105,2-29274105,3-29274105,4-29274105,5-29274105,9274105,74105,5,05,4105,05,Number1-29274105,r2-29274105,axNumber3-29274105,axNumber4-29274105,TaxNumber5-29274105,05,egistration-29274105,false,TrainStationName-29274105,TrainStationName-29274105,4105,105,05
r-29274106,4106,06,ser-29274106,2010-05-20,4106,06,CustomerFullName-29274106,BPCustomerFullName-29274106,CustomerName-29274106,BPCustomerName-29274106,06,06,06,06,06,06,106,106,106,106,106,6,06,true,r-29274106,p-29274106,s-29274106,4106,1-29274106,2-29274106,3-29274106,4-29274106,5-29274106,9274106,74106,6,06,4106,06,Number1-29274106,r2-29274106,axNumber3-29274106,axNumber4-29274106,TaxNumber5-29274106,06,egistration-29274106,true,TrainStationName-29274106,TrainStationName-29274106,4106,106,06
r-29274107,4107,07,ser-29274107,2020-07-08,4107,07,CustomerFullName-29274107,BPCustomerFullName-29274107,CustomerName-29274107,BPCustomerName-29274107,07,07,07,07,07,07,107,107,107,107,107,7,07,false,r-29274107,p-29274107,s-29274107,4107,1-29274107,2-29274107,3-29274107,4-29274107,5-29274107,9274107,74107,7,07,4107,07,Number1-29274107,r2-29274107,axNumber3-29274107,axNumber4-29274107,TaxNumber5-29274107,07,egistration-29274107,false,TrainStationName-29274107,TrainStationName-29274107,4107,107,07
r-29274108,4108,08,ser-29274108,2003-05-14,4108,08,CustomerFullName-29274108,BPCustomerFullName-29274108,CustomerName-29274108,BPCustomerName-29274108,08,08,08,08,08,08,108,108,108,108,108,8,08,true,r-29274108,p-29274108,s-29274108,4108,1-29274108,2-29274108,3-29274108,4-29274108,5-29274108,9274108,74108,8,08,4108,08,Number1-29274108,r2-29274108,axNumber3-29274108,axNumber4-29274108,TaxNumber5-29274108,08,egistration-29274108,true,TrainStationName-29274108,TrainStationName-29274108,4108,108,08
r-29274109,4109,09,ser-29274109,2021-04-29,4109,09,CustomerFullName-29274109,BPCustomerFullName-29274109,CustomerName-29274109,BPCustomerName-29274109,09,09,09,09,09,09,109,109,109,109,109,9,09,false,r-29274109,p-29274109,s-29274109,4109,1-29274109,2-29274109,3-29274109,4-29274109,5-29274109,9274109,74109,9,09,4109,09,Number1-29274109,r2-29274109,axNumber3-29274109,axNumber4-29274109,TaxNumber5-29274109,09,egistration-29274109,false,TrainStationName-29274109,TrainStationName-29274109,4109,109,09
r-29274110,4110,10,ser-29274110,2008-11-24,4110,10,CustomerFullName-29274110,BPCustomerFullName-29274110,CustomerName-29274110,BPCustomerName-29274110,10,10,10,10,10,10,110,110,110,110,110,0,10,true,r-29274110,p-29274110,s-29274110,4110,1-29274110,2-29274110,3-29274110,4-29274110,5-29274110,9274110,74110,0,10,4110,10,Number1-29274110,r2-29274110,axNumber3-29274110,axNumber4-29274110,TaxNumber5-29274110,10,egistration-29274110,true,TrainStationName-29274110,TrainStationName-29274110,4110,110,10
r-29274111,4111,11,ser-29274111,2023-11-30,4111,11,CustomerFullName-29274111,BPCustomerFullName-29274111,CustomerName-29274111,BPCustomerName-29274111,11,11,11,11,11,11,111,111,111,111,111,1,11,false,r-29274111,p-29274111,s-29274111,4111,1-29274111,2-29274111,3-29274111,4-29274111,5-29274111,9274111,74111,1,11,4111,11,Number1-29274111,r2-29274111,axNumber3-29274111,axNumber4-29274111,TaxNumber5-29274111,11,egistration-29274111,false,TrainStationName-29274111,TrainStationName-29274111,4111,111,11
r-29274112,4112,12,ser-29274112,2015-12-20,4112,12,CustomerFullName-29274112,BPCustomerFullName-29274112,CustomerName-29274112,BPCustomerName-29274112,12,12,12,12,12,12,112,112,112,112,112,2,12,true,r-29274112,p-29274112,s-29274112,4112,1-29274112,2-29274112,3-29274112,4-29274112,5-29274112,9274112,74112,2,12,4112,12,Number1-29274112,r2-29274112,axNumber3-29274112,axNumber4-29274112,TaxNumber5-29274112,12,egistration-29274112,true,TrainStationName-29274112,TrainStationName-29274112,4112,112,12
r-29274113,4113,13,ser-29274113,2000-12-21,4113,13,CustomerFullName-29274113,BPCustomerFullName-29274113,CustomerName-29274113,BPCustomerName-29274113,13,13,13,13,13,13,113,113,113,113,113,3,13,false,r-29274113,p-29274113,s-29274113,4113,1-29274113,2-29274113,3-29274113,4-29274113,5-29274113,9274113,74113,3,13,4113,13,Number1-29274113,r2-29274113,axNumber3-29274113,axNumber4-29274113,TaxNumber5-29274113,13,egistration-29274113,false,TrainStationName-29274113,TrainStationName-29274113,4113,113,13
r-29274114,4114,14,ser-29274114,2009-06-12,4114,14,CustomerFullName-29274114,BPCustomerFullName-29274114,CustomerName-29274114,BPCustomerName-29274114,14,14,14,14,14,14,114,114,114,114,114,4,14,true,r-29274114,p-29274114,s-29274114,4114,1-29274114,2-29274114,3-29274114,4-29274114,5-29274114,9274114,74114,4,14,4114,14,Number1-29274114,r2-29274114,axNumber3-29274114,axNumber4-29274114,TaxNumber5-29274114,14,egistration-29274114,true,TrainStationName-29274114,TrainStationName-29274114,4114,114,14
r-29274115,4115,15,ser-29274115,2013-04-04,4115,15,CustomerFullName-29274115,BPCustomerFullName-29274115,CustomerName-29274115,BPCustomerName-29274115,15,15,15,15,15,15,115,115,115,115,115,5,15,false,r-29274115,p-29274115,s-29274115,4115,1-29274115,2-29274115,3-29274115,4-29274115,5-29274115,9274115,74115,5,15,4115,15,Number1-29274115,r2-29274115,axNumber3-29274115,axNumber4-29274115,TaxNumber5-29274115,15,egistration-29274115,false,TrainStationName-29274115,TrainStationName-29274115,4115,115,15
r-29274116,4116,16,ser-29274116,2001-08-05,4116,16,CustomerFullName-29274116,BPCustomerFullName-29274116,CustomerName-29274116,BPCustomerName-29274116,16,16,16,16,16,16,116,116,116,116,116,6,16,true,r-29274116,p-29274116,s-29274116,4116,1-29274116,2-29274116,3-29274116,4-29274116,5-29274116,9274116,74116,6,16,4116,16,Number1-29274116,r2-29274116,axNumber3-29274116,axNumber4-29274116,TaxNumber5-29274116,16,egistration-29274116,true,TrainStationName-29274116,TrainStationName-29274116,4116,116,16
r-29274117,4117,17,ser-29274117,2014-12-13,4117,17,CustomerFullName-29274117,BPCustomerFullName-29274117,CustomerName-29274117,BPCustomerName-29274117,17,17,17,17,17,17,117,117,117,117,117,7,17,false,r-29274117,p-29274117,s-29274117,4117,1-29274117,2-29274117,3-29274117,4-29274117,5-29274117,9274117,74117,7,17,4117,17,Number1-29274117,r2-29274117,axNumber3-29274117,axNumber4-29274117,TaxNumber5-29274117,17,egistration-29274117,false,TrainStationName-29274117,TrainStationName-29274117,4117,117,17
r-29274118,4118,18,ser-29274118,2000-10-26,4118,18,CustomerFullName-29274118,BPCustomerFullName-29274118,CustomerName-29274118,BPCustomerName-29274118,18,18,18,18,18,18,118,118,118,118,118,8,18,true,r-29274118,p-29274118,s-29274118,4118,1-29274118,2-29274118,3-29274118,4-29274118,5-29274118,9274118,74118,8,18,4118,18,Number1-29274118,r2-29274118,axNumber3-29274118,axNumber4-29274118,TaxNumber5-29274118,18,egistration-29274118,true,TrainStationName-29274118,TrainStationName-29274118,4118,118,18
r-29274119,4119,19,ser-29274119,2007-09-21,4119,19,CustomerFullName-29274119,BPCustomerFullName-29274119,CustomerName-29274119,BPCustomerName-29274119,19,19,19,19,19,19,119,119,119,119,119,9,19,false,r-29274119,p-29274119,s-29274119,4119,1-29274119,2-29274119,3-29274119,4-29274119,5-29274119,9274119,74119,9,19,4119,19,Number1-29274119,r2-29274119,axNumber3-29274119,axNumber4-29274119,TaxNumber5-29274119,19,egistration-29274119,false,TrainStationName-29274119,TrainStationName-29274119,4119,119,19
r-29274120,4120,20,ser-29274120,2011-01-15,4120,20,CustomerFullName-29274120,BPCustomerFullName-29274120,CustomerName-29274120,BPCustomerName-29274120,20,20,20,20,20,20,120,120,120,120,120,0,20,true,r-29274120,p-29274120,s-29274120,4120,1-29274120,2-29274120,3-29274120,4-29274120,5-29274120,9274120,74120,0,20,4120,20,Number1-29274120,r2-29274120,axNumber3-29274120,axNumber4-29274120,TaxNumber5-29274120,20,egistration-29274120,true,TrainStationName-29274120,TrainStationName-29274120,4120,120,20
r-29274121,4121,21,ser-29274121,2003-06-28,4121,21,CustomerFullName-29274121,BPCustomerFullName-29274121,CustomerName-29274121,BPCustomerName-29274121,21,21,21,21,21,21,121,121,121,121,121,1,21,false,r-29274121,p-29274121,s-29274121,4121,1-29274121,2-29274121,3-29274121,4-29274121,5-29274121,9274121,74121,1,21,4121,21,Number1-29274121,r2-29274121,axNumber3-29274121,axNumber4-29274121,TaxNumber5-29274121,21,egistration-29274121,false,TrainStationName-29274121,TrainStationName-29274121,4121,121,21
r-29274122,4122,22,ser-29274122,2023-11-09,4122,22,CustomerFullName-29274122,BPCustomerFullName-29274122,CustomerName-29274122,BPCustomerName-29274122,22,22,22,22,22,22,122,122,122,122,122,2,22,true,r-29274122,p-29274122,s-29274122,4122,1-29274122,2-29274122,3-29274122,4-29274122,5-29274122,9274122,74122,2,22,4122,22,Number1-29274122,r2-29274122,axNumber3-29274122,axNumber4-29274122,TaxNumber5-29274122,22,egistration-29274122,true,TrainStationName-29274122,TrainStationName-29274122,4122,122,22
r-29274123,4123,23,ser-29274123,2014-10-16,4123,23,CustomerFullName-29274123,BPCustomerFullName-29274123,CustomerName-29274123,BPCustomerName-29274123,23,23,23,23,23,23,123,123,123,123,123,3,23,false,r-29274123,p-29274123,s-29274123,4123,1-29274123,2-29274123,3-29274123,4-29274123,5-29274123,9274123,74123,3,23,4123,23,Number1-29274123,r2-29274123,axNumber3-29274123,axNumber4-29274123,TaxNumber5-29274123,23,egistration-29274123,false,TrainStationName-29274123,TrainStationName-29274123,4123,123,23
r-29274124,4124,24,ser-29274124,2011-04-11,4124,24,CustomerFullName-29274124,BPCustomerFullName-29274124,CustomerName-29274124,BPCustomerName-29274124,24,24,24,24,24,24,124,124,124,124,124,4,24,true,r-29274124,p-29274124,s-29274124,4124,1-29274124,2-29274124,3-29274124,4-29274124,5-29274124,9274124,74124,4,24,4124,24,Number1-29274124,r2-29274124,axNumber3-29274124,axNumber4-29274124,TaxNumber5-29274124,24,egistration-29274124,true,TrainStationName-29274124,TrainStationName-29274124,4124,124,24
r-29274125,4125,25,ser-29274125,2016-08-03,4125,25,CustomerFullName-29274125,BPCustomerFullName-29274125,CustomerName-29274125,BPCustomerName-29274125,25,25,25,25,25,25,125,125,125,125,125,5,25,false,r-29274125,p-29274125,s-29274125,4125,1-29274125,2-29274125,3-29274125,4-29274125,5-29274125,9274125,74125,5,25,4125,25,Number1-29274125,r2-29274125,axNumber3-29274125,axNumber4-29274125,TaxNumber5-29274125,25,egistration-29274125,false,TrainStationName-29274125,TrainStationName-29274125,4125,125,25
r-29274126,4126,26,ser-29274126,2013-03-18,4126,26,CustomerFullName-29274126,BPCustomerFullName-29274126,CustomerName-29274126,BPCustomerName-29274126,26,26,26,26,26,26,126,126,126,126,126,6,26,true,r-29274126,p-29274126,s-29274126,4126,1-29274126,2-29274126,3-29274126,4-29274126,5-29274126,9274126,74126,6,26,4126,26,Number1-29274126,r2-29274126,axNumber3-29274126,axNumber4-29274126,TaxNumber5-29274126,26,egistration-29274126,true,TrainStationName-29274126,TrainStationName-29274126,4126,126,26
